filename	mictype	roomsize	distance
crisp_phase3/C2_phase3_mid_1m/timit/data/TRAIN/DR1/FDAW0/SI1406.WAV	C2	mid	1m
crisp_phase3/D2_phase3_mid_1m/timit/data/TRAIN/DR1/FDML0/SX339.WAV	D2	mid	1m
Mobile_Recording/phase3/Mi/large_1m/485.wav	Mi	large	1m
crisp_phase3/D5_phase3_large_1m/timit/data/TRAIN/DR1/MDAC0/SX271.WAV	D5	large	1m
Mobile_Recording/phase3/Samsung/small_1m/125.wav	Samsung	small	1m
crisp_phase3/D5_phase3_small_1m/timit/data/TRAIN/DR1/FCJF0/SX397.WAV	D5	small	1m
Mobile_Recording/phase3/LG/med_5m/570.wav	LG	med	5m
crisp_phase3/C2_phase3_small_1m/timit/data/TRAIN/DR1/FCJF0/SX217.WAV	C2	small	1m
Mobile_Recording/phase3/LG/med_1m/105.wav	LG	med	1m
crisp_phase3/C2_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SA1.WAV	C2	mid	5m
Mobile_Recording/phase3/LG/med_1m/140.wav	LG	med	1m
Mobile_Recording/phase3/Moto/med_1m/195.wav	Moto	med	1m
Mobile_Recording/phase3/Moto/med_1m/390.wav	Moto	med	1m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/MEDR0/SI744.WAV	C1	large	7m
Mobile_Recording/phase3/Samsung/large_close/255.wav	Samsung	large	0.02m
Mobile_Recording/phase3/LG/med_1m/470.wav	LG	med	1m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/MDPK0/SX333.WAV	C1	large	7m
Mobile_Recording/phase3/Moto/med_1m/575.wav	Moto	med	1m
crisp_phase3/D5_phase3_small_1m/timit/data/TRAIN/DR1/FCJF0/SI1027.WAV	D5	small	1m
Mobile_Recording/phase3/LG/large_close/10.wav	LG	large	0.02m
Mobile_Recording/phase3/Mi/large_3m/250.wav	Mi	large	3m
Mobile_Recording/phase3/Moto/med_3m/440.wav	Moto	med	3m
Mobile_Recording/phase3/Samsung/large_close/110.wav	Samsung	large	0.02m
Mobile_Recording/phase3/Moto/small_3m/102.wav	Moto	small	3m
crisp_phase3/D5_phase3_mid_1m/timit/data/TRAIN/DR1/FCJF0/SX127.WAV	D5	mid	1m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/MDPK0/SX423.WAV	D2	large	1m
crisp_phase3/M1_phase3_mid_1m/timit/data/TRAIN/DR1/MDPK0/SX423.WAV	M1	mid	1m
crisp_phase3/M1_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SA2.WAV	M1	small	1m
Mobile_Recording/phase3/Samsung/med_1m/175.wav	Samsung	med	1m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/MGRL0/SX237.WAV	D2	large	1m
crisp_phase3/D5_phase3_large_7m/timit/data/TRAIN/DR1/FDML0/SA2.WAV	D5	large	7m
Mobile_Recording/phase3/Samsung/large_3m/70.wav	Samsung	large	3m
Mobile_Recording/phase3/Samsung/med_5m/260.wav	Samsung	med	5m
crisp_phase3/D2_phase3_small_3m/timit/data/TRAIN/DR1/MDPK0/SA2.WAV	D2	small	3m
crisp_phase3/D2_phase3_small_3m/timit/data/TRAIN/DR1/FETB0/SX68.WAV	D2	small	3m
crisp_phase3/D5_phase3_large_9m/timit/data/TRAIN/DR1/MDPK0/SX153.WAV	D5	large	9m
Mobile_Recording/phase3/Mi/med_1m/415.wav	Mi	med	1m
crisp_phase3/M1_phase3_large_close/timit/data/TRAIN/DR1/MDAC0/SX91.WAV	M1	large	0.02m
crisp_phase3/D1_phase3_small_1m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	D1	small	1m
crisp_phase3/M1_phase3_small_3m/timit/data/TRAIN/DR1/MGRL0/SA1.WAV	M1	small	3m
crisp_phase3/D5_phase3_large_3m/timit/data/TRAIN/DR1/FDAW0/SX326.WAV	D5	large	3m
crisp_phase3/D5_phase3_large_close/timit/data/TRAIN/DR1/MDPK0/SX63.WAV	D5	large	0.02m
crisp_phase3/C2_phase3_mid_5m/timit/data/TRAIN/DR1/FDML0/SA2.WAV	C2	mid	5m
crisp_phase3/D5_phase3_mid_1m/timit/data/TRAIN/DR1/FDAW0/SX236.WAV	D5	mid	1m
Mobile_Recording/phase3/LG/large_3m/500.wav	LG	large	3m
crisp_phase3/C2_phase3_large_1m/timit/data/TRAIN/DR1/MDPK0/SA2.WAV	C2	large	1m
crisp_phase3/C2_phase3_large_3m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	C2	large	3m
crisp_phase3/M1_phase3_large_3m/timit/data/TRAIN/DR1/FECD0/SI788.WAV	M1	large	3m
crisp_phase3/C2_phase3_large_1m/timit/data/TRAIN/DR1/MDAC0/SX451.WAV	C2	large	1m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/FDML0/SX159.WAV	D2	large	1m
crisp_phase3/D2_phase3_large_close/timit/data/TRAIN/DR1/MEDR0/SX384.WAV	D2	large	0.02m
Mobile_Recording/phase3/Mi/small_3m/144.wav	Mi	small	3m
crisp_phase3/C2_phase3_large_3m/timit/data/TRAIN/DR1/FDAW0/SI1271.WAV	C2	large	3m
crisp_phase3/D5_phase3_mid_3m/timit/data/TRAIN/DR1/FECD0/SX68.WAV	D5	mid	3m
Mobile_Recording/phase3/LG/med_1m/505.wav	LG	med	1m
Mobile_Recording/phase3/Moto/med_5m/195.wav	Moto	med	5m
crisp_phase3/C1_phase3_large_1m/timit/data/TRAIN/DR1/MCPM0/SX114.WAV	C1	large	1m
crisp_phase3/C1_phase3_small_3m/timit/data/TRAIN/DR1/FDML0/SX159.WAV	C1	small	3m
crisp_phase3/D2_phase3_mid_3m/timit/data/TRAIN/DR1/MCPM0/SX24.WAV	D2	mid	3m
crisp_phase3/D2_phase3_mid_3m/timit/data/TRAIN/DR1/FDML0/SX339.WAV	D2	mid	3m
crisp_phase3/C1_phase3_large_1m/timit/data/TRAIN/DR1/MDPK0/SA1.WAV	C1	large	1m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SX384.WAV	M1	mid	5m
Mobile_Recording/phase3/Mi/large_1m/520.wav	Mi	large	1m
Mobile_Recording/phase3/Moto/med_1m/5.wav	Moto	med	1m
Mobile_Recording/phase3/Samsung/med_1m/340.wav	Samsung	med	1m
crisp_phase3/M1_phase3_large_close/timit/data/TRAIN/DR1/MCPM0/SX114.WAV	M1	large	0.02m
Mobile_Recording/phase3/LG/small_1m/520.wav	LG	small	1m
Mobile_Recording/phase3/LG/med_3m/535.wav	LG	med	3m
crisp_phase3/D2_phase3_mid_3m/timit/data/TRAIN/DR1/MEDR0/SA2.WAV	D2	mid	3m
crisp_phase3/D5_phase3_large_9m/timit/data/TRAIN/DR1/FECD0/SI1418.WAV	D5	large	9m
crisp_phase3/D5_phase3_small_1m/timit/data/TRAIN/DR1/MEDR0/SI2004.WAV	D5	small	1m
crisp_phase3/D2_phase3_large_3m/timit/data/TRAIN/DR1/FECD0/SX338.WAV	D2	large	3m
crisp_phase3/C1_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SI2048.WAV	C1	small	1m
crisp_phase3/D5_phase3_small_3m/timit/data/TRAIN/DR1/MDAC0/SA2.WAV	D5	small	3m
Mobile_Recording/phase3/Samsung/large_1m/425.wav	Samsung	large	1m
crisp_phase3/C2_phase3_mid_1m/timit/data/TRAIN/DR1/FCJF0/SX397.WAV	C2	mid	1m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/FETB0/SA1.WAV	C1	large	7m
Mobile_Recording/phase3/Moto/med_5m/500.wav	Moto	med	5m
crisp_phase3/M1_phase3_large_9m/timit/data/TRAIN/DR1/FECD0/SX428.WAV	M1	large	9m
crisp_phase3/D5_phase3_large_9m/timit/data/TRAIN/DR1/FDML0/SA2.WAV	D5	large	9m
crisp_phase3/M1_phase3_small_3m/timit/data/TRAIN/DR1/FCJF0/SX37.WAV	M1	small	3m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SA1.WAV	M1	mid	5m
crisp_phase3/C1_phase3_small_3m/timit/data/TRAIN/DR1/FECD0/SX158.WAV	C1	small	3m
Mobile_Recording/phase3/Mi/large_close/220.wav	Mi	large	0.02m
crisp_phase3/C2_phase3_mid_3m/timit/data/TRAIN/DR1/FDML0/SI1779.WAV	C2	mid	3m
Mobile_Recording/phase3/LG/small_1m/195.wav	LG	small	1m
crisp_phase3/D5_phase3_mid_3m/timit/data/TRAIN/DR1/MCPM0/SI1194.WAV	D5	mid	3m
Mobile_Recording/phase3/Mi/med_5m/100.wav	Mi	med	5m
crisp_phase3/C2_phase3_large_close/timit/data/TRAIN/DR1/MGRL0/SI1497.WAV	C2	large	0.02m
Mobile_Recording/phase3/LG/large_3m/305.wav	LG	large	3m
Mobile_Recording/phase3/LG/large_1m/515.wav	LG	large	1m
crisp_phase3/D5_phase3_large_9m/timit/data/TRAIN/DR1/FCJF0/SA1.WAV	D5	large	9m
crisp_phase3/D5_phase3_small_1m/timit/data/TRAIN/DR1/MEDR0/SA2.WAV	D5	small	1m
crisp_phase3/C1_phase3_large_5m/timit/data/TRAIN/DR1/MDPK0/SX153.WAV	C1	large	5m
Mobile_Recording/phase3/Moto/med_1m/340.wav	Moto	med	1m
Mobile_Recording/phase3/Samsung/small_3m/162.wav	Samsung	small	3m
crisp_phase3/C2_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SI1418.WAV	C2	small	1m
crisp_phase3/D5_phase3_large_1m/timit/data/TRAIN/DR1/MCPM0/SI1824.WAV	D5	large	1m
Mobile_Recording/phase3/LG/large_3m/595.wav	LG	large	3m
crisp_phase3/D5_phase3_large_9m/timit/data/TRAIN/DR1/MCPM0/SX384.WAV	D5	large	9m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SI1194.WAV	M1	mid	5m
crisp_phase3/D5_phase3_mid_5m/timit/data/TRAIN/DR1/FDML0/SX339.WAV	D5	mid	5m
crisp_phase3/D2_phase3_large_9m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	D2	large	9m
crisp_phase3/C1_phase3_large_9m/timit/data/TRAIN/DR1/MDAC0/SX181.WAV	C1	large	9m
crisp_phase3/C2_phase3_small_3m/timit/data/TRAIN/DR1/MDAC0/SA1.WAV	C2	small	3m
crisp_phase3/C2_phase3_large_1m/timit/data/TRAIN/DR1/MEDR0/SI744.WAV	C2	large	1m
Mobile_Recording/phase3/Mi/large_close/25.wav	Mi	large	0.02m
crisp_phase3/M1_phase3_mid_3m/timit/data/TRAIN/DR1/MEDR0/SX384.WAV	M1	mid	3m
Mobile_Recording/phase3/Samsung/large_1m/600.wav	Samsung	large	1m
Mobile_Recording/phase3/Mi/med_1m/370.wav	Mi	med	1m
Mobile_Recording/phase3/Moto/large_close/445.wav	Moto	large	0.02m
Mobile_Recording/phase3/LG/large_3m/265.wav	LG	large	3m
crisp_phase3/D2_phase3_small_1m/timit/data/TRAIN/DR1/FDML0/SX339.WAV	D2	small	1m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MDPK0/SI1053.WAV	M1	mid	5m
Mobile_Recording/phase3/Moto/med_3m/535.wav	Moto	med	3m
Mobile_Recording/phase3/LG/med_5m/125.wav	LG	med	5m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SX294.WAV	M1	mid	5m
crisp_phase3/M1_phase3_large_1m/timit/data/TRAIN/DR1/FDML0/SX429.WAV	M1	large	1m
Mobile_Recording/phase3/Mi/small_3m/178.wav	Mi	small	3m
crisp_phase3/M1_phase3_large_7m/timit/data/TRAIN/DR1/MGRL0/SX237.WAV	M1	large	7m
crisp_phase3/D5_phase3_large_close/timit/data/TRAIN/DR1/MDAC0/SX181.WAV	D5	large	0.02m
crisp_phase3/D2_phase3_mid_1m/timit/data/TRAIN/DR1/MEDR0/SX204.WAV	D2	mid	1m
Mobile_Recording/phase3/LG/large_3m/170.wav	LG	large	3m
Mobile_Recording/phase3/Mi/large_close/545.wav	Mi	large	0.02m
crisp_phase3/C2_phase3_large_close/timit/data/TRAIN/DR1/FDAW0/SA1.WAV	C2	large	0.02m
Mobile_Recording/phase3/LG/med_5m/275.wav	LG	med	5m
Mobile_Recording/phase3/Samsung/large_1m/410.wav	Samsung	large	1m
Mobile_Recording/phase3/Moto/small_1m/575.wav	Moto	small	1m
crisp_phase3/D2_phase3_small_3m/timit/data/TRAIN/DR1/FECD0/SX68.WAV	D2	small	3m
crisp_phase3/D5_phase3_small_3m/timit/data/TRAIN/DR1/MDPK0/SX153.WAV	D5	small	3m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/MDPK0/SX243.WAV	D2	large	1m
crisp_phase3/D2_phase3_mid_3m/timit/data/TRAIN/DR1/FECD0/SA1.WAV	D2	mid	3m
crisp_phase3/M1_phase3_large_9m/timit/data/TRAIN/DR1/FDAW0/SA1.WAV	M1	large	9m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/FDAW0/SI1271.WAV	C1	large	7m
crisp_phase3/M1_phase3_large_3m/timit/data/TRAIN/DR1/FETB0/SA1.WAV	M1	large	3m
Mobile_Recording/phase3/Mi/large_close/5.wav	Mi	large	0.02m
Mobile_Recording/phase3/Mi/large_3m/195.wav	Mi	large	3m
crisp_phase3/C1_phase3_small_3m/timit/data/TRAIN/DR1/FDAW0/SI2036.WAV	C1	small	3m
crisp_phase3/M1_phase3_large_1m/timit/data/TRAIN/DR1/MGRL0/SX417.WAV	M1	large	1m
crisp_phase3/M1_phase3_large_close/timit/data/TRAIN/DR1/FETB0/SI518.WAV	M1	large	0.02m
crisp_phase3/D4_phase3_small_1m/timit/data/TRAIN/DR1/MEDR0/SX24.WAV	D4	small	1m
crisp_phase3/D5_phase3_mid_5m/timit/data/TRAIN/DR1/MDAC0/SX451.WAV	D5	mid	5m
crisp_phase3/D2_phase3_mid_5m/timit/data/TRAIN/DR1/MGRL0/SI2127.WAV	D2	mid	5m
crisp_phase3/M1_phase3_mid_1m/timit/data/TRAIN/DR1/FECD0/SI2048.WAV	M1	mid	1m
Mobile_Recording/phase3/Samsung/small_1m/285.wav	Samsung	small	1m
crisp_phase3/C1_phase3_mid_5m/timit/data/TRAIN/DR1/FETB0/SX338.WAV	C1	mid	5m
crisp_phase3/C1_phase3_large_5m/timit/data/TRAIN/DR1/FECD0/SX158.WAV	C1	large	5m
Mobile_Recording/phase3/Moto/small_3m/40.wav	Moto	small	3m
crisp_phase3/C1_phase3_mid_1m/timit/data/TRAIN/DR1/MGRL0/SA1.WAV	C1	mid	1m
crisp_phase3/C2_phase3_large_5m/timit/data/TRAIN/DR1/MEDR0/SA2.WAV	C2	large	5m
crisp_phase3/C2_phase3_large_9m/timit/data/TRAIN/DR1/FDML0/SX159.WAV	C2	large	9m
Mobile_Recording/phase3/Moto/small_3m/134.wav	Moto	small	3m
crisp_phase3/D5_phase3_large_7m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	D5	large	7m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/MDPK0/SX243.WAV	C1	large	7m
crisp_phase3/D1_phase3_small_1m/timit/data/TRAIN/DR1/FCJF0/SI648.WAV	D1	small	1m
crisp_phase3/C1_phase3_small_3m/timit/data/TRAIN/DR1/FETB0/SX158.WAV	C1	small	3m
Mobile_Recording/phase3/Moto/med_5m/135.wav	Moto	med	5m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SX114.WAV	M1	mid	5m
Mobile_Recording/phase3/Mi/large_close/405.wav	Mi	large	0.02m
crisp_phase3/C2_phase3_mid_5m/timit/data/TRAIN/DR1/FCJF0/SX307.WAV	C2	mid	5m
Mobile_Recording/phase3/LG/large_close/240.wav	LG	large	0.02m
crisp_phase3/M1_phase3_mid_3m/timit/data/TRAIN/DR1/MGRL0/SI867.WAV	M1	mid	3m
crisp_phase3/C2_phase3_small_3m/timit/data/TRAIN/DR1/MDPK0/SI1683.WAV	C2	small	3m
crisp_phase3/C1_phase3_large_9m/timit/data/TRAIN/DR1/FECD0/SX338.WAV	C1	large	9m
crisp_phase3/D1_phase3_small_1m/timit/data/TRAIN/DR1/FDAW0/SX236.WAV	D1	small	1m
crisp_phase3/C1_phase3_large_9m/timit/data/TRAIN/DR1/FDML0/SA2.WAV	C1	large	9m
Mobile_Recording/phase3/LG/med_5m/5.wav	LG	med	5m
crisp_phase3/D2_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SX24.WAV	D2	mid	5m
Mobile_Recording/phase3/Samsung/small_1m/590.wav	Samsung	small	1m
Mobile_Recording/phase3/Samsung/large_1m/145.wav	Samsung	large	1m
crisp_phase3/C1_phase3_mid_1m/timit/data/TRAIN/DR1/FCJF0/SX127.WAV	C1	mid	1m
crisp_phase3/M1_phase3_large_3m/timit/data/TRAIN/DR1/MDPK0/SI1053.WAV	M1	large	3m
Mobile_Recording/phase3/Moto/med_5m/100.wav	Moto	med	5m
crisp_phase3/D1_phase3_small_1m/timit/data/TRAIN/DR1/MEDR0/SA2.WAV	D1	small	1m
Mobile_Recording/phase3/Samsung/med_3m/445.wav	Samsung	med	3m
crisp_phase3/C1_phase3_mid_5m/timit/data/TRAIN/DR1/FECD0/SX68.WAV	C1	mid	5m
Mobile_Recording/phase3/Moto/med_1m/425.wav	Moto	med	1m
crisp_phase3/D2_phase3_mid_1m/timit/data/TRAIN/DR1/FDAW0/SX416.WAV	D2	mid	1m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/MDAC0/SI1837.WAV	D2	large	1m
Mobile_Recording/phase3/Moto/small_3m/144.wav	Moto	small	3m
crisp_phase3/D5_phase3_large_1m/timit/data/TRAIN/DR1/FETB0/SX338.WAV	D5	large	1m
crisp_phase3/C1_phase3_small_1m/timit/data/TRAIN/DR1/MGRL0/SI1497.WAV	C1	small	1m
Mobile_Recording/phase3/LG/med_1m/520.wav	LG	med	1m
crisp_phase3/C1_phase3_mid_1m/timit/data/TRAIN/DR1/MDPK0/SX243.WAV	C1	mid	1m
crisp_phase3/M1_phase3_small_1m/timit/data/TRAIN/DR1/FDAW0/SI2036.WAV	M1	small	1m
crisp_phase3/M1_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SI2048.WAV	M1	small	1m
crisp_phase3/D2_phase3_large_5m/timit/data/TRAIN/DR1/MGRL0/SX327.WAV	D2	large	5m
crisp_phase3/M1_phase3_large_7m/timit/data/TRAIN/DR1/FETB0/SX338.WAV	M1	large	7m
Mobile_Recording/phase3/Samsung/small_3m/154.wav	Samsung	small	3m
Mobile_Recording/phase3/Moto/med_1m/120.wav	Moto	med	1m
Mobile_Recording/phase3/Mi/med_3m/200.wav	Mi	med	3m
Mobile_Recording/phase3/LG/large_close/450.wav	LG	large	0.02m
Mobile_Recording/phase3/LG/large_close/455.wav	LG	large	0.02m
Mobile_Recording/phase3/Moto/small_1m/195.wav	Moto	small	1m
Mobile_Recording/phase3/Samsung/med_5m/190.wav	Samsung	med	5m
crisp_phase3/C2_phase3_large_close/timit/data/TRAIN/DR1/MDPK0/SX423.WAV	C2	large	0.02m
crisp_phase3/C2_phase3_large_close/timit/data/TRAIN/DR1/FECD0/SA2.WAV	C2	large	0.02m
Mobile_Recording/phase3/LG/small_3m/32.wav	LG	small	3m
crisp_phase3/D5_phase3_mid_3m/timit/data/TRAIN/DR1/MDPK0/SI552.WAV	D5	mid	3m
crisp_phase3/D5_phase3_mid_1m/timit/data/TRAIN/DR1/FETB0/SI1148.WAV	D5	mid	1m
Mobile_Recording/phase3/LG/med_5m/395.wav	LG	med	5m
Mobile_Recording/phase3/Mi/large_close/410.wav	Mi	large	0.02m
crisp_phase3/M1_phase3_small_3m/timit/data/TRAIN/DR1/MCPM0/SA2.WAV	M1	small	3m
crisp_phase3/D2_phase3_mid_5m/timit/data/TRAIN/DR1/MDPK0/SX63.WAV	D2	mid	5m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/FETB0/SI1148.WAV	M1	mid	5m
Mobile_Recording/phase3/LG/large_1m/290.wav	LG	large	1m
crisp_phase3/M1_phase3_mid_1m/timit/data/TRAIN/DR1/FETB0/SI1778.WAV	M1	mid	1m
crisp_phase3/D4_phase3_small_1m/timit/data/TRAIN/DR1/FDAW0/SI1271.WAV	D4	small	1m
Mobile_Recording/phase3/Samsung/med_1m/460.wav	Samsung	med	1m
crisp_phase3/D5_phase3_mid_5m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	D5	mid	5m
Mobile_Recording/phase3/Moto/med_3m/560.wav	Moto	med	3m
crisp_phase3/M1_phase3_large_9m/timit/data/TRAIN/DR1/MEDR0/SI2004.WAV	M1	large	9m
Mobile_Recording/phase3/LG/large_3m/60.wav	LG	large	3m
crisp_phase3/D2_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SX68.WAV	D2	small	1m
crisp_phase3/C1_phase3_large_9m/timit/data/TRAIN/DR1/FECD0/SX158.WAV	C1	large	9m
crisp_phase3/C1_phase3_large_close/timit/data/TRAIN/DR1/MCPM0/SI1824.WAV	C1	large	0.02m
Mobile_Recording/phase3/Moto/small_1m/555.wav	Moto	small	1m
Mobile_Recording/phase3/Samsung/large_close/285.wav	Samsung	large	0.02m
Mobile_Recording/phase3/Mi/med_5m/60.wav	Mi	med	5m
crisp_phase3/C1_phase3_large_5m/timit/data/TRAIN/DR1/MDAC0/SA1.WAV	C1	large	5m
Mobile_Recording/phase3/Samsung/med_5m/135.wav	Samsung	med	5m
crisp_phase3/M1_phase3_small_3m/timit/data/TRAIN/DR1/MDPK0/SX333.WAV	M1	small	3m
crisp_phase3/D2_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SX248.WAV	D2	small	1m
Mobile_Recording/phase3/Mi/large_3m/290.wav	Mi	large	3m
Mobile_Recording/phase3/Samsung/large_3m/55.wav	Samsung	large	3m
crisp_phase3/M1_phase3_large_close/timit/data/TRAIN/DR1/MDAC0/SI1837.WAV	M1	large	0.02m
Mobile_Recording/phase3/Samsung/small_1m/315.wav	Samsung	small	1m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/FETB0/SI1778.WAV	C1	large	7m
crisp_phase3/M1_phase3_mid_1m/timit/data/TRAIN/DR1/MEDR0/SA1.WAV	M1	mid	1m
Mobile_Recording/phase3/Mi/med_1m/510.wav	Mi	med	1m
Mobile_Recording/phase3/Mi/med_5m/290.wav	Mi	med	5m
crisp_phase3/C1_phase3_large_9m/timit/data/TRAIN/DR1/MGRL0/SX57.WAV	C1	large	9m
crisp_phase3/C1_phase3_large_7m/timit/data/TRAIN/DR1/FECD0/SX428.WAV	C1	large	7m
Mobile_Recording/phase3/Mi/large_1m/285.wav	Mi	large	1m
crisp_phase3/M1_phase3_mid_5m/timit/data/TRAIN/DR1/MDPK0/SA2.WAV	M1	mid	5m
crisp_phase3/M1_phase3_small_3m/timit/data/TRAIN/DR1/FDAW0/SA2.WAV	M1	small	3m
crisp_phase3/M1_phase3_large_5m/timit/data/TRAIN/DR1/MCPM0/SX24.WAV	M1	large	5m
Mobile_Recording/phase3/Samsung/med_5m/70.wav	Samsung	med	5m
crisp_phase3/D2_phase3_large_5m/timit/data/TRAIN/DR1/MGRL0/SI867.WAV	D2	large	5m
Mobile_Recording/phase3/Mi/med_1m/480.wav	Mi	med	1m
Mobile_Recording/phase3/Samsung/med_1m/105.wav	Samsung	med	1m
crisp_phase3/C2_phase3_mid_5m/timit/data/TRAIN/DR1/FCJF0/SX37.WAV	C2	mid	5m
crisp_phase3/C1_phase3_mid_5m/timit/data/TRAIN/DR1/MCPM0/SI1824.WAV	C1	mid	5m
Mobile_Recording/phase3/Mi/small_3m/128.wav	Mi	small	3m
Mobile_Recording/phase3/LG/med_1m/210.wav	LG	med	1m
crisp_phase3/D5_phase3_small_3m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	D5	small	3m
crisp_phase3/C1_phase3_large_1m/timit/data/TRAIN/DR1/MCPM0/SX24.WAV	C1	large	1m
crisp_phase3/M1_phase3_large_5m/timit/data/TRAIN/DR1/FETB0/SA2.WAV	M1	large	5m
Mobile_Recording/phase3/LG/med_1m/440.wav	LG	med	1m
Mobile_Recording/phase3/Mi/large_3m/365.wav	Mi	large	3m
crisp_phase3/M1_phase3_mid_1m/timit/data/TRAIN/DR1/FETB0/SX338.WAV	M1	mid	1m
